stage,seed,severity,condition,probe,network,a1_frequency_passed,target_response_coverage,response_coverage_passed,transfer_valid,evoked_fc_split_abs_z,fc_valid_fraction,functional_connectivity_valid,latency_valid_fraction,median_pulse_tail_energy_fraction,response_latency_valid,target_frequency_qa_valid_fraction,frequency_locked_transfer_valid,transfer_split_abs_log2,transfer_nonstationary_flag,required_metric_gate_passed
complete_main,383,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.003104172267906602,1.0,True,,,False,1.0,True,0.0003023654684017225,False,True
complete_main,383,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00013559386446626576,1.0,True,,,False,1.0,True,0.00032237373874900764,False,True
complete_main,383,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019385865507248745,1.0,True,,,False,1.0,True,8.737547142290067e-05,False,True
complete_main,421,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.4502573629820885e-08,True,,False,,False,True
complete_main,421,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.3139132651011387e-08,True,,False,,False,True
complete_main,421,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013675951537982733,1.0,True,,,False,1.0,True,0.0009057195293780487,False,True
complete_main,421,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031610139012250293,1.0,True,,,False,1.0,True,0.00030530057908708557,False,True
complete_main,421,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00014841058250913974,1.0,True,,,False,1.0,True,0.00032703533362185143,False,True
complete_main,421,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019066188269589723,1.0,True,,,False,1.0,True,8.946115934688359e-05,False,True
complete_main,461,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.5311298360572436e-08,True,,False,,False,True
complete_main,461,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.397579243831206e-08,True,,False,,False,True
complete_main,461,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.01355449229652228,1.0,True,,,False,1.0,True,0.0008999961730090339,False,True
complete_main,461,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031267846178564263,1.0,True,,,False,1.0,True,0.00030360702910600635,False,True
complete_main,461,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00014049005903404854,1.0,True,,,False,1.0,True,0.0003233874742905719,False,True
