condition,severity,seed,probe,network,target_response_coverage,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,evoked_fc_split_abs_z
High AD-like perturbation,1.0,251,2Hz,semantic_expanded,1.0,0.9481284258913965,False,0.20608260620187369,0.017066681674915797,-3.718682268159374,0.18334510344004792,0.23076923076923078,0.012996934862113736
High AD-like perturbation,1.0,281,2Hz,episodic_expanded,1.0,1.4922799397181985,True,0.2789066719452056,0.002743030586415424,7.585584388372348,0.18614029584449726,0.3684210526315789,0.0232232367424516
High AD-like perturbation,1.0,281,2Hz,semantic_expanded,1.0,1.1129515512722443,True,0.2351587785499648,0.017604541169725568,-2.056943293132795,0.13075805755469883,0.15384615384615385,0.004314998870413703
High AD-like perturbation,1.0,313,2Hz,episodic_expanded,1.0,0.8768285897571464,False,0.2602568630019131,0.0030643317816090856,1.6693455603963163,0.15502989898801087,0.10526315789473684,0.004934227761431334
High AD-like perturbation,1.0,313,2Hz,semantic_expanded,1.0,0.9086111285090587,False,0.20020789826363725,0.017555316225940244,-2.450089580364814,0.17120390006996405,0.23076923076923078,4.1259745224817707e-05
High AD-like perturbation,1.0,347,2Hz,episodic_expanded,1.0,1.2931935032164321,True,0.2826436446632394,0.0023720609201436107,7.256638156389432,0.32262932937256483,0.631578947368421,0.0223835502910462
High AD-like perturbation,1.0,347,2Hz,semantic_expanded,1.0,0.9915445518720121,False,0.21732714018262636,0.017449093363628442,-0.9282071665375241,0.16965846117202443,0.38461538461538464,0.008905513317083865
High AD-like perturbation,1.0,383,2Hz,episodic_expanded,1.0,1.6682315434490347,True,0.3489478039939914,0.002772999025412216,6.25008610071876,0.1585010008012126,0.3157894736842105,0.013010338002779509
High AD-like perturbation,1.0,383,2Hz,semantic_expanded,1.0,1.1608921022308683,True,0.24155897266172033,0.018331137090621268,-2.9589176948074365,0.13844534182119658,0.07692307692307693,0.000282121457332838
High AD-like perturbation,1.0,421,2Hz,episodic_expanded,1.0,2.370455340022216,True,0.4682903071947433,0.00360722933451307,2.272491276641686,0.13156861505552947,0.15789473684210525,0.02308139410557919
High AD-like perturbation,1.0,421,2Hz,semantic_expanded,1.0,1.1044624173927373,True,0.2429785600001858,0.019364041100588824,-1.5790667923156334,0.13403269592713887,0.23076923076923078,0.005918832312854257
High AD-like perturbation,1.0,461,2Hz,episodic_expanded,1.0,1.349233518345775,True,0.327608160158313,0.0028873506758250287,7.115599688567292,0.11345204632242696,0.2631578947368421,0.01669483033068167
High AD-like perturbation,1.0,461,2Hz,semantic_expanded,1.0,0.8741030470622967,False,0.1919890489566336,0.016265439767552396,-2.115722151848515,0.17574414498268146,0.23076923076923078,0.005826587613294817
High AD-like perturbation,1.0,503,2Hz,episodic_expanded,1.0,1.2057832793095329,True,0.24751361671666589,0.0022973857022631425,8.743543267429917,0.37112249389515767,0.7368421052631579,0.03332175649429778
High AD-like perturbation,1.0,503,2Hz,semantic_expanded,1.0,0.8763344736128341,False,0.19302977204499575,0.017494044116499886,-1.4791935184931757,0.1368378849589285,0.15384615384615385,0.012673946495672156
Baseline,0.0,11,5Hz,episodic_expanded,1.0,8.807887742245967e-05,False,-2.4116957244935124e-05,0.0007562648339973951,31.905366240330896,0.9999994342225019,1.0,0.00019089749001821588
Baseline,0.0,11,5Hz,semantic_expanded,1.0,0.0003242731242837851,False,-8.406331588091122e-05,0.0003869675657594165,31.91147669896482,0.9999987821389765,1.0,0.00014680958867407945
