seed,probe,outcome,unit,main_interaction,reference_interaction,signed_main_minus_reference,absolute_main_minus_reference
461,2Hz,functional_connectivity,Fisher-z difference,0.07589809074279152,0.07445880313030839,0.001439287612483131,0.001439287612483131
503,2Hz,functional_connectivity,Fisher-z difference,0.06588308811998012,0.06994912016979837,-0.004066032049818258,0.004066032049818258
11,5Hz,functional_connectivity,Fisher-z difference,0.06364267738804252,0.06533282672217577,-0.0016901493341332507,0.0016901493341332507
23,5Hz,functional_connectivity,Fisher-z difference,0.06253310037630633,0.06457304248442197,-0.0020399421081156444,0.0020399421081156444
37,5Hz,functional_connectivity,Fisher-z difference,0.06190370639866094,0.05343251242517044,0.008471193973490498,0.008471193973490498
53,5Hz,functional_connectivity,Fisher-z difference,0.07436420605025762,0.08535951359120397,-0.010995307540946353,0.010995307540946353
71,5Hz,functional_connectivity,Fisher-z difference,0.06540988270397086,0.062083718312739844,0.0033261643912310124,0.0033261643912310124
89,5Hz,functional_connectivity,Fisher-z difference,0.07940678015001024,0.07173316065455326,0.007673619495456974,0.007673619495456974
107,5Hz,functional_connectivity,Fisher-z difference,0.08851297506720157,0.049761954294801125,0.038751020772400446,0.038751020772400446
127,5Hz,functional_connectivity,Fisher-z difference,0.05944146540630846,0.08411711810290123,-0.024675652696592776,0.024675652696592776
149,5Hz,functional_connectivity,Fisher-z difference,0.0958176358551206,0.07471887376652986,0.02109876208859074,0.02109876208859074
173,5Hz,functional_connectivity,Fisher-z difference,0.07821033129538169,0.08507432459762576,-0.006863993302244076,0.006863993302244076
197,5Hz,functional_connectivity,Fisher-z difference,0.06012394686592093,0.06775528550500476,-0.007631338639083829,0.007631338639083829
223,5Hz,functional_connectivity,Fisher-z difference,0.01703268467011898,0.028068317347764493,-0.011035632677645513,0.011035632677645513
251,5Hz,functional_connectivity,Fisher-z difference,0.06860586972302851,0.06154737128704868,0.007058498435979832,0.007058498435979832
281,5Hz,functional_connectivity,Fisher-z difference,0.0678852851413525,0.07269996955942148,-0.004814684418068982,0.004814684418068982
313,5Hz,functional_connectivity,Fisher-z difference,0.07816920037167185,0.08850255390468154,-0.010333353533009682,0.010333353533009682
347,5Hz,functional_connectivity,Fisher-z difference,0.0797073953122378,0.08472761455048916,-0.0050202192382513555,0.0050202192382513555
383,5Hz,functional_connectivity,Fisher-z difference,0.07183256291893558,0.033718847997436185,0.0381137149214994,0.0381137149214994
421,5Hz,functional_connectivity,Fisher-z difference,0.07424241112944774,0.07799207629165306,-0.003749665162205318,0.003749665162205318
461,5Hz,functional_connectivity,Fisher-z difference,0.06680327328992774,0.16616300598058387,-0.09935973269065612,0.09935973269065612
503,5Hz,functional_connectivity,Fisher-z difference,0.06252975255582749,0.07600107987449567,-0.01347132731866818,0.01347132731866818
11,pulse,response_latency,ms,227.5,272.0,-44.5,44.5
23,pulse,response_latency,ms,312.0,330.0,-18.0,18.0
37,pulse,response_latency,ms,336.5,436.0,-99.5,99.5
53,pulse,response_latency,ms,536.0,474.0,62.0,62.0
71,pulse,response_latency,ms,437.5,440.0,-2.5,2.5
89,pulse,response_latency,ms,281.5,293.0,-11.5,11.5
107,pulse,response_latency,ms,429.0,504.5,-75.5,75.5
127,pulse,response_latency,ms,320.5,445.5,-125.0,125.0
149,pulse,response_latency,ms,455.0,422.5,32.5,32.5
173,pulse,response_latency,ms,533.5,546.0,-12.5,12.5
197,pulse,response_latency,ms,283.0,336.5,-53.5,53.5
223,pulse,response_latency,ms,472.5,522.5,-50.0,50.0
251,pulse,response_latency,ms,267.0,277.5,-10.5,10.5
281,pulse,response_latency,ms,298.0,232.5,65.5,65.5
313,pulse,response_latency,ms,375.0,429.5,-54.5,54.5
347,pulse,response_latency,ms,238.0,254.0,-16.0,16.0
383,pulse,response_latency,ms,216.0,449.5,-233.5,233.5
421,pulse,response_latency,ms,489.0,485.0,4.0,4.0
461,pulse,response_latency,ms,369.0,385.5,-16.5,16.5
503,pulse,response_latency,ms,393.0,333.5,59.5,59.5
