severity,seed,probe,network,metric,difference,old_pointwise_tolerance,within_old_pointwise_tolerance
1.0,11,2Hz,semantic_expanded,functional_connectivity,0.0008506081327968665,0.05,True
1.0,23,2Hz,episodic_expanded,functional_connectivity,0.0032021221599611085,0.05,True
1.0,23,2Hz,semantic_expanded,functional_connectivity,0.00020859138596284084,0.05,True
1.0,37,2Hz,episodic_expanded,functional_connectivity,0.0009269615165473921,0.05,True
1.0,37,2Hz,semantic_expanded,functional_connectivity,6.36188046471732e-05,0.05,True
1.0,53,2Hz,episodic_expanded,functional_connectivity,0.0005025554302317096,0.05,True
1.0,53,2Hz,semantic_expanded,functional_connectivity,0.0012521130850059077,0.05,True
1.0,71,2Hz,episodic_expanded,functional_connectivity,0.00924251845806668,0.05,True
1.0,71,2Hz,semantic_expanded,functional_connectivity,0.0009481845027332694,0.05,True
1.0,89,2Hz,episodic_expanded,functional_connectivity,0.0008745957586882638,0.05,True
1.0,89,2Hz,semantic_expanded,functional_connectivity,0.00046443723314033847,0.05,True
1.0,107,2Hz,episodic_expanded,functional_connectivity,0.003089193521397953,0.05,True
1.0,107,2Hz,semantic_expanded,functional_connectivity,0.0006752718055922247,0.05,True
1.0,127,2Hz,episodic_expanded,functional_connectivity,0.008489744491148254,0.05,True
1.0,127,2Hz,semantic_expanded,functional_connectivity,0.0007917326241312396,0.05,True
1.0,149,2Hz,episodic_expanded,functional_connectivity,0.0036599565203853657,0.05,True
1.0,149,2Hz,semantic_expanded,functional_connectivity,0.0006021530890475257,0.05,True
1.0,173,2Hz,episodic_expanded,functional_connectivity,0.01438018359091467,0.05,True
1.0,173,2Hz,semantic_expanded,functional_connectivity,0.005438377573735942,0.05,True
1.0,197,2Hz,episodic_expanded,functional_connectivity,0.008093371371414873,0.05,True
1.0,197,2Hz,semantic_expanded,functional_connectivity,0.0026387037056703876,0.05,True
1.0,223,2Hz,episodic_expanded,functional_connectivity,0.007855644378665344,0.05,True
1.0,223,2Hz,semantic_expanded,functional_connectivity,0.002134112507437131,0.05,True
1.0,251,2Hz,episodic_expanded,functional_connectivity,0.006750428416065782,0.05,True
1.0,251,2Hz,semantic_expanded,functional_connectivity,0.0011893714047145863,0.05,True
1.0,281,2Hz,episodic_expanded,functional_connectivity,0.0018863041695417818,0.05,True
1.0,281,2Hz,semantic_expanded,functional_connectivity,0.0013534147482154764,0.05,True
1.0,313,2Hz,episodic_expanded,functional_connectivity,0.031386266886010865,0.05,True
1.0,313,2Hz,semantic_expanded,functional_connectivity,0.007219817353017011,0.05,True
1.0,347,2Hz,episodic_expanded,functional_connectivity,0.00381303299412869,0.05,True
1.0,347,2Hz,semantic_expanded,functional_connectivity,0.004417291900000552,0.05,True
1.0,383,2Hz,episodic_expanded,functional_connectivity,0.053586156955724606,0.05,False
1.0,383,2Hz,semantic_expanded,functional_connectivity,0.010852351009644656,0.05,True
1.0,421,2Hz,episodic_expanded,functional_connectivity,0.01670882009509781,0.05,True
1.0,421,2Hz,semantic_expanded,functional_connectivity,0.0020967824171926053,0.05,True
