seed,outcome,probe,observed_interaction,null_median,null_5th_percentile,null_95th_percentile,observed_empirical_percentile,outside_central_90_percent,matched_sets
383,functional_connectivity,5Hz,0.07183256291893558,0.06530256581204485,0.02076264363982735,0.10929413340226476,61.477045908183634,False,500
421,functional_connectivity,5Hz,0.07424241112944774,0.06550305603180528,0.018891515543827887,0.11424589077642905,63.07385229540918,False,500
461,functional_connectivity,5Hz,0.06680327328992774,0.07250336466501262,0.021856228269390335,0.13111529461946791,43.31337325349301,False,500
503,functional_connectivity,5Hz,0.06252975255582749,0.05641119376009163,0.011650273256619494,0.09974907770989716,58.28343313373254,False,500
11,response_latency,pulse,227.5,445.75,-32.274999999999984,964.7749999999993,27.744510978043913,False,500
23,response_latency,pulse,312.0,483.25,-36.54999999999997,962.9499999999996,32.33532934131737,False,500
37,response_latency,pulse,336.5,455.25,-5.399999999999977,916.2999999999997,34.73053892215569,False,500
53,response_latency,pulse,536.0,397.5,-66.0,942.2999999999997,66.66666666666667,False,500
71,response_latency,pulse,437.5,460.0,-17.525,953.5249999999995,46.706586826347305,False,500
89,response_latency,pulse,281.5,480.75,-42.69999999999999,991.599999999999,30.339321357285428,False,500
107,response_latency,pulse,429.0,442.75,-43.87499999999998,929.7499999999998,48.50299401197605,False,500
127,response_latency,pulse,320.5,442.25,-13.67499999999999,981.7499999999998,37.724550898203596,False,500
149,response_latency,pulse,455.0,490.5,-21.025,1050.525,46.50698602794411,False,500
173,response_latency,pulse,533.5,488.5,-28.724999999999987,1005.025,56.08782435129741,False,500
197,response_latency,pulse,283.0,486.5,-10.5,989.6999999999998,27.54491017964072,False,500
223,response_latency,pulse,472.5,427.5,-40.525,963.2999999999997,57.08582834331337,False,500
251,response_latency,pulse,267.0,425.75,-42.62499999999999,957.025,30.339321357285428,False,500
281,response_latency,pulse,298.0,433.5,-39.22499999999996,882.1249999999999,34.73053892215569,False,500
313,response_latency,pulse,375.0,432.75,-39.574999999999996,982.7749999999997,42.315369261477045,False,500
347,response_latency,pulse,238.0,405.75,-14.124999999999964,950.6749999999998,30.339321357285428,False,500
383,response_latency,pulse,216.0,419.25,-33.074999999999996,964.4499999999996,26.347305389221557,False,500
421,response_latency,pulse,489.0,413.25,-61.274999999999984,931.5999999999999,61.07784431137725,False,500
461,response_latency,pulse,369.0,468.0,-46.025,951.0749999999999,39.920159680638726,False,500
503,response_latency,pulse,393.0,465.0,-9.724999999999959,1002.2999999999997,39.321357285429144,False,500
