region_index,region_label,hemisphere,surrogate_amyloid,baseline_b,intermediate_b,high_b,b_reduction,weighted_structural_strength,structural_feature_basis,direct_connectivity_to_left_a1,direct_connectivity_to_right_a1,bilateral_a1_affinity,semantic_expanded_membership,episodic_expanded_membership,semantic_anatomical_core_membership,episodic_anatomical_core_membership,anatomical_core_membership,semantic_platel_peak_membership,episodic_platel_peak_membership,platel_peak_membership,raw_trace_region_membership
81,L_IFSa,L,1.99531516538651,0.07,0.05865200218710154,0.047304004374203075,0.02269599562579693,0.44857467386204497,symmetrized_0.5_times_W_plus_W_transpose,7.15957903094998e-05,0.000496777901305483,0.0005683736916149829,False,False,False,False,False,False,False,False,False
82,L_p9-46v,L,1.9709737399006,0.07,0.05958299643536454,0.04916599287072908,0.02083400712927093,0.4490547487409586,symmetrized_0.5_times_W_plus_W_transpose,6.6253368834021e-05,0.0004135654754268195,0.0004798188442608405,False,False,False,False,False,False,False,False,False
83,L_46,L,1.73069485381284,0.07,0.06655181606045432,0.06310363212090865,0.006896367879091356,0.4556137694607676,symmetrized_0.5_times_W_plus_W_transpose,0.0008481556948018564,0.0007646762673368451,0.0016128319621387015,False,False,False,False,False,False,False,False,False
84,L_a9-46v,L,2.014940701435,0.07,0.0578913618706023,0.0457827237412046,0.024217276258795405,0.4113204403723908,symmetrized_0.5_times_W_plus_W_transpose,0.00040442169061603346,0.00019985715246856399,0.0006042788430845974,False,False,False,False,False,False,False,False,False
85,L_9-46d,L,1.66332850536001,0.07,0.06762078106038781,0.06524156212077561,0.004758437879224392,0.45642443963514023,symmetrized_0.5_times_W_plus_W_transpose,3.85860323048786e-05,0.0005675832945030545,0.0006061693268079331,False,False,False,False,False,False,False,False,False
86,L_9a,L,1.31446976068147,0.07,0.06970401421902661,0.0694080284380532,0.0005919715619468052,0.41867905797073146,symmetrized_0.5_times_W_plus_W_transpose,0.0007302935931745255,0.000473546677977954,0.0012038402711524795,False,False,False,False,False,False,False,False,False
87,L_10v,L,2.17808337913819,0.07,0.05195585851882413,0.033911717037648254,0.03608828296235175,0.32184560874794116,symmetrized_0.5_times_W_plus_W_transpose,3.807306913580575e-05,0.0003035225501267913,0.0003415956192625971,True,False,True,False,True,False,False,False,True
88,L_a10p,L,2.00791551957155,0.07,0.05816427090684263,0.04632854181368526,0.023671458186314748,0.3797276289164325,symmetrized_0.5_times_W_plus_W_transpose,0.00014736588331650034,0.0002451434365631496,0.00039250931987964993,False,False,False,False,False,False,False,False,False
89,L_10pp,L,1.69455385117459,0.07,0.0671679814557071,0.0643359629114142,0.005664037088585802,0.33027174472271115,symmetrized_0.5_times_W_plus_W_transpose,0.00038713628315984,0.00013017775543261285,0.0005173140385924529,False,False,False,False,False,False,False,False,False
90,L_11l,L,3.67409746063124,0.07,0.04500086745716284,0.020001734914325678,0.04999826508567433,0.4016845990008395,symmetrized_0.5_times_W_plus_W_transpose,0.000671454213509099,0.000589149764100539,0.001260603977609638,False,False,False,False,False,False,False,False,False
