severity,probe,network,segment,median_broadband_transfer,median_frequency_locked_transfer,median_target_locked_amplitude,median_ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,median_phase_eligible_fraction,median_phase_lag_degrees,median_phase_consistency_across_segments,numerical_initializations,severity_label,series
0.5,5Hz,Episodic proxy,1,0.016869446282093397,0.0016240413109480296,0.0001459648774889794,0.07879147524101321,0.012264108882964642,0.39473684210526316,9.183645339405231,0.7744036790616762,20,0.5,5Hz · Episodic proxy
0.5,5Hz,Episodic proxy,2,0.04438839156581018,0.0038910777973732596,0.0004851566627575255,0.07871279557440752,0.006675158742277476,0.39473684210526316,43.637769730986946,0.7744036790616762,20,0.5,5Hz · Episodic proxy
0.5,5Hz,Episodic proxy,3,0.12333855999693893,0.009957343748830259,0.0012551782095154423,0.07867403359915742,0.004765973424344039,0.39473684210526316,14.879350818606303,0.7744036790616762,20,0.5,5Hz · Episodic proxy
0.5,5Hz,Episodic proxy,4,0.20129495306553896,0.014023992804537637,0.001577909356512768,0.07869206889862476,0.002345906586447233,0.39473684210526316,13.646138744284388,0.7744036790616762,20,0.5,5Hz · Episodic proxy
0.5,5Hz,Episodic proxy,5,0.2961897637258547,0.017116971765946475,0.0017627721061531498,0.0785852270256509,0.002805855397167656,0.39473684210526316,24.41635490366314,0.7744036790616762,20,0.5,5Hz · Episodic proxy
0.5,5Hz,Semantic proxy,1,0.017952032617209873,0.0012122789140125276,0.00011867463035078452,0.07879147524101321,0.004050028207617351,0.07692307692307693,18.73018710629019,0.5724688057142873,20,0.5,5Hz · Semantic proxy
0.5,5Hz,Semantic proxy,2,0.059298700828324016,0.005510750123121972,0.0007502296419636084,0.07871279557440752,0.002608767152360081,0.07692307692307693,49.54039384010858,0.5724688057142873,20,0.5,5Hz · Semantic proxy
0.5,5Hz,Semantic proxy,3,0.19313152913189735,0.017625202559397132,0.002673701702289282,0.07867403359915742,0.0029165972365854387,0.07692307692307693,32.50173418021111,0.5724688057142873,20,0.5,5Hz · Semantic proxy
0.5,5Hz,Semantic proxy,4,0.2783701034261467,0.021917010244845152,0.003611811919991632,0.07869206889862476,0.0015991045555769912,0.07692307692307693,43.27190203686325,0.5724688057142873,20,0.5,5Hz · Semantic proxy
0.5,5Hz,Semantic proxy,5,0.5119023691312227,0.03134206204848616,0.004734472191160046,0.0785852270256509,0.0014510122666356318,0.07692307692307693,-8.989487080188983,0.5724688057142873,20,0.5,5Hz · Semantic proxy
1.0,2Hz,Episodic proxy,1,0.030032543388019334,0.0015587159463174615,9.434569652835544e-05,0.05402082206324149,0.004092516230350396,0.4473684210526315,13.273630458037578,0.9568787775941121,20,1.0,2Hz · Episodic proxy
1.0,2Hz,Episodic proxy,2,0.05762889905539141,0.0018830191259374199,0.00012357690443769295,0.054009751069675614,0.0015224375768816412,0.4473684210526315,11.684816161257668,0.9568787775941121,20,1.0,2Hz · Episodic proxy
1.0,2Hz,Episodic proxy,3,0.07957852802532513,0.0027795061653197203,0.0002073785308613013,0.05402036475971787,0.0012737160004883674,0.4473684210526315,10.309032705112388,0.9568787775941121,20,1.0,2Hz · Episodic proxy
1.0,2Hz,Episodic proxy,4,0.11602269439157656,0.0036652872116510176,0.0002566451155058101,0.0540270602687287,0.0012325259013578616,0.4473684210526315,16.801624706841274,0.9568787775941121,20,1.0,2Hz · Episodic proxy
1.0,2Hz,Episodic proxy,5,0.18844009054517213,0.004295630032143553,0.00029485532902310857,0.05403407674866867,0.0006459336464685328,0.4473684210526315,6.036122439201793,0.9568787775941121,20,1.0,2Hz · Episodic proxy
1.0,2Hz,Semantic proxy,1,0.11969544278784301,0.005517032100701057,0.0003065945944851357,0.05402082206324149,0.002532209372505312,0.15384615384615385,-45.84721993469483,0.639057550244703,20,1.0,2Hz · Semantic proxy
1.0,2Hz,Semantic proxy,2,0.18990995989917825,0.007609204939881881,0.00041321951901690285,0.054009751069675614,0.0014199336582071398,0.15384615384615385,-29.157389198708785,0.639057550244703,20,1.0,2Hz · Semantic proxy
1.0,2Hz,Semantic proxy,3,0.25354560054749026,0.01757992869783291,0.0009503356400570872,0.05402036475971787,0.0036759390907100675,0.15384615384615385,16.118553622560164,0.639057550244703,20,1.0,2Hz · Semantic proxy
1.0,2Hz,Semantic proxy,4,0.324209612276641,0.019877199353491807,0.0011331038338934776,0.0540270602687287,0.0025543731872314512,0.15384615384615385,27.63580902472132,0.639057550244703,20,1.0,2Hz · Semantic proxy
1.0,2Hz,Semantic proxy,5,0.4074729281661078,0.02259678926014739,0.0013865688531261699,0.05403407674866867,0.001814157515748982,0.15384615384615385,41.631380035708546,0.639057550244703,20,1.0,2Hz · Semantic proxy
1.0,5Hz,Episodic proxy,1,0.020199994521989728,0.0013752863844726114,0.00011506237928648699,0.0747168425407883,0.012419551199380152,0.5,13.663000557429985,0.9119953060896346,20,1.0,5Hz · Episodic proxy
1.0,5Hz,Episodic proxy,2,0.045692353614616966,0.0017737494101106558,0.00014286746209209893,0.07472605479110322,0.003372458239736309,0.5,1.2319888107747445,0.9119953060896346,20,1.0,5Hz · Episodic proxy
1.0,5Hz,Episodic proxy,3,0.06186619134732835,0.002828431155640333,0.00024148573418478995,0.07477105282275368,0.0032181067971616684,0.5,11.28850082121099,0.9119953060896346,20,1.0,5Hz · Episodic proxy
1.0,5Hz,Episodic proxy,4,0.07769109335072003,0.0034516785525963035,0.0002760647966904815,0.07473325621848259,0.004007515753234769,0.5,21.70733630691778,0.9119953060896346,20,1.0,5Hz · Episodic proxy
1.0,5Hz,Episodic proxy,5,0.14585148441777193,0.004133314320815283,0.00036084664880603104,0.07477701860980213,0.001574122777069864,0.5,-2.505879749357267,0.9119953060896346,20,1.0,5Hz · Episodic proxy
1.0,5Hz,Semantic proxy,1,0.08279352432797357,0.007421842513484846,0.0007188793005695283,0.07471684254078831,0.006092810805966964,0.11538461538461539,-20.01809729176664,0.6873573764189798,20,1.0,5Hz · Semantic proxy
1.0,5Hz,Semantic proxy,2,0.13090167504043382,0.012609510817885732,0.0009971085948984647,0.07472605479110322,0.00864150862721702,0.11538461538461539,-46.69763747838883,0.6873573764189798,20,1.0,5Hz · Semantic proxy
1.0,5Hz,Semantic proxy,3,0.18055294617734285,0.01662664777387248,0.0015566781169271068,0.07477105282275368,0.008385965685039964,0.11538461538461539,-63.90299632441689,0.6873573764189798,20,1.0,5Hz · Semantic proxy
1.0,5Hz,Semantic proxy,4,0.23598134150905492,0.021810282311435062,0.0018255483967270676,0.07473325621848259,0.008865851406607228,0.11538461538461539,-43.07626110393677,0.6873573764189798,20,1.0,5Hz · Semantic proxy
1.0,5Hz,Semantic proxy,5,0.2989938520817538,0.025232419360090214,0.00217766059231598,0.07477701860980213,0.00477686567781338,0.11538461538461539,-49.28123639551505,0.6873573764189798,20,1.0,5Hz · Semantic proxy
