severity,severity_label,seed,network,fixed_parcel_count,t20_ms,relative_t20_ms,t50_ms,relative_t50_ms,t80_ms,relative_t80_ms,absolute_peak_after_onset_ms,relative_absolute_peak_after_onset_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp
1.0,1.0,281,Episodic proxy,16,380.0,349.0,733.0,598.0,1936.0,1656.0,409.0,381.0,1515.0,0.005632954974337892,0.020880906813458673,0.0023972837451665726
0.0,0.0,313,Episodic proxy,17,166.5,140.5,297.0,251.0,453.5,288.5,238.0,210.0,292.0,8.765121567207512e-05,2.3403726397798496e-08,0.0006497243931161566
0.5,0.5,313,Episodic proxy,17,203.0,175.0,334.5,230.5,629.0,427.0,241.0,213.0,412.5,0.00026297097066049665,0.011809250162566332,0.0010690026656186508
1.0,1.0,313,Episodic proxy,17,357.0,326.0,598.5,462.5,1098.0,818.0,431.0,403.0,681.0,0.005748243398264517,0.023486069848751588,0.002512941148986629
0.0,0.0,347,Episodic proxy,15,172.5,146.5,304.0,258.0,463.5,298.5,248.0,220.0,294.0,8.413947573427546e-05,2.489022429288228e-08,0.0006328524155157103
0.5,0.5,347,Episodic proxy,15,190.0,162.0,321.0,217.0,556.0,353.0,240.5,212.5,358.0,0.00022220981075212555,0.010061844235973165,0.0010058930194025864
1.0,1.0,347,Episodic proxy,15,314.0,283.0,533.0,397.0,963.5,683.5,409.0,381.0,619.0,0.003074245924182962,0.009679236816439913,0.001979207223815473
0.0,0.0,383,Episodic proxy,18,178.0,152.0,311.0,265.0,473.0,308.0,258.0,230.0,295.0,8.031966447453849e-05,2.4886222925939175e-08,0.0006180045849896335
0.5,0.5,383,Episodic proxy,18,215.0,187.0,346.0,242.0,537.0,334.0,283.0,255.0,322.0,0.0002626610493270098,0.013587067275808055,0.0010783124852921085
1.0,1.0,383,Episodic proxy,18,305.0,274.0,521.0,385.0,1049.0,769.0,409.0,381.0,735.0,0.002795745555407828,0.03645676823600356,0.0018918077416795577
0.0,0.0,421,Episodic proxy,17,172.5,146.5,304.0,258.0,463.5,298.5,248.0,220.0,294.0,8.229146276188746e-05,2.2994615761729697e-08,0.0006275639940741255
0.5,0.5,421,Episodic proxy,17,182.5,154.5,326.5,222.5,500.5,299.5,240.5,212.5,298.5,0.0002073732183625519,0.021187205220715988,0.0009802313478682657
1.0,1.0,421,Episodic proxy,17,314.0,283.0,514.5,378.5,915.5,635.5,409.0,381.0,605.5,0.0032659100020280708,0.016047405440820894,0.002037131386159758
0.0,0.0,461,Episodic proxy,0,,,,,,,,,,,,
0.5,0.5,461,Episodic proxy,0,,,,,,,,,,,,
1.0,1.0,461,Episodic proxy,0,,,,,,,,,,,,
0.0,0.0,503,Episodic proxy,17,172.5,146.5,304.0,258.0,463.5,298.5,248.0,220.0,294.0,8.22891718054339e-05,2.2971864872440033e-08,0.0006275564714327965
0.5,0.5,503,Episodic proxy,17,199.0,171.0,325.0,221.0,485.0,284.0,260.5,232.5,285.5,0.00021583723937529874,0.01373900689849238,0.000992237380125895
1.0,1.0,503,Episodic proxy,17,339.5,308.5,606.5,470.5,1439.0,1159.0,409.0,381.0,1134.5,0.0042431368024095535,0.01610527904193456,0.0021441279851561173
