severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,target_locked_amplitude,ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,phase_eligible_fraction,phase_lag_degrees,median_phase_consistency_across_segments
0.0,23,5Hz,Semantic proxy,4,6.0,8.0,0.000387787195029698,0.00038696756575969083,3.176924057751179e-05,0.08208608956218057,0.9986654264849323,1.0,30.71679151483613,0.9999999677458375
0.0,23,5Hz,Episodic proxy,4,6.0,8.0,0.0007576549357555958,0.0007562648339971412,6.208151963178814e-05,0.08208608956218057,0.9989711166410197,1.0,27.783086873227443,0.9999999806666274
0.0,23,5Hz,Semantic proxy,5,8.0,10.0,0.0003877871950295623,0.00038696756575926463,3.176924057747958e-05,0.08208608956218048,0.9986654264932849,1.0,30.716791513090833,0.9999999677458375
0.0,23,5Hz,Episodic proxy,5,8.0,10.0,0.0007576549357558306,0.0007562648339974361,6.208151963181229e-05,0.0820860895621805,0.9989711166410197,1.0,27.78308687324019,0.9999999806666274
1.0,11,2Hz,Semantic proxy,1,0.0,2.0,0.1211043304895934,0.005514531151451648,0.0003066268099151569,0.0540205498461671,0.002805493829682648,0.15384615384615385,-51.91666510492311,0.6367954595098435
1.0,11,2Hz,Episodic proxy,1,0.0,2.0,0.022258148370888433,0.0014320631659075322,8.585199278271532e-05,0.054020549846167096,0.006205905327716588,0.6842105263157895,16.23651554566036,0.9094722048826204
1.0,11,2Hz,Semantic proxy,2,2.0,4.0,0.18773035069898544,0.007235657663070993,0.00039370751671789485,0.05401013256158002,0.0021956432699102857,0.15384615384615385,-41.239661068528704,0.6367954595098435
1.0,11,2Hz,Episodic proxy,2,2.0,4.0,0.03931682330362331,0.0019047531111273531,0.00011914725473543084,0.05401013256158002,0.0028775083640003585,0.6842105263157895,24.058231160059417,0.9094722048826204
1.0,11,2Hz,Semantic proxy,3,4.0,6.0,0.2452328571689216,0.01748058454038611,0.0009443455918320164,0.05400838327107452,0.004563182912266206,0.15384615384615385,25.899006182106763,0.6367954595098435
1.0,11,2Hz,Episodic proxy,3,4.0,6.0,0.06464889684713923,0.0026755119483070455,0.00018761440478008747,0.05400838327107452,0.0013635921399561823,0.6842105263157895,-21.07003267097239,0.9094722048826204
