severity,seed,region_index,region_label,hemisphere,semantic_membership,episodic_membership,t20_ms,t50_ms,t80_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp,absolute_peak_after_onset_ms
1.0,383,34,L_31pv,L,False,True,858.0,1866.0,2664.0,1806.0,0.002241773496643405,0.07802323115495381,0.0022230529614013506,2138.0
1.0,383,214,R_31pv,R,False,True,252.0,416.0,692.0,440.0,0.0004213738591577524,0.017030242393173207,0.0012523224810845335,364.0
1.0,383,33,L_d23ab,L,False,True,720.0,1290.0,1890.0,1170.0,0.0051449333460563676,0.02619677524547437,0.0025160569442679304,1328.0
1.0,383,213,R_d23ab,R,False,True,558.0,980.0,2870.0,2312.0,0.002764621448752564,0.1139269007451071,0.0021907641210265894,568.0
1.0,383,32,L_v23ab,L,False,True,328.0,536.0,850.0,522.0,0.0010089312950636298,0.020046502802939892,0.001756570801859425,408.0
1.0,383,212,R_v23ab,R,False,True,228.0,360.0,558.0,330.0,0.0006893383158883127,0.011006064983545831,0.0017363462669948149,318.0
1.0,383,31,L_23d,L,False,True,328.0,570.0,1144.0,816.0,0.0005042986151272279,0.03251169726420966,0.0011922143423692688,408.0
1.0,383,211,R_23d,R,False,True,282.0,456.0,784.0,502.0,0.0004152085892903075,0.020600875630888135,0.0012047826719285837,408.0
1.0,383,161,L_31a,L,False,True,328.0,586.0,1386.0,1058.0,0.0003776608396075428,0.0501882121024584,0.0010022964665150624,410.0
1.0,383,341,R_31a,R,False,True,1248.0,1972.0,2888.0,1640.0,0.014919306579662825,0.05387887498196077,0.00369517294070576,1876.0
1.0,383,26,L_PCV,L,False,True,2230.0,2894.0,3318.0,1088.0,0.17417204778752965,0.21659707524796373,0.021675756140549396,3464.0
1.0,383,206,R_PCV,R,False,True,322.0,528.0,804.0,482.0,0.0019820384734068417,0.014115773016059993,0.0024967973626530693,408.0
1.0,383,29,L_7m,L,False,True,454.0,754.0,1182.0,728.0,0.004191917561310363,0.022019046924745014,0.0029466643249982383,584.0
1.0,383,209,R_7m,R,False,True,246.0,436.0,840.0,594.0,0.0007108321184581357,0.022071269055263753,0.0015820554496954742,322.0
1.0,383,324,R_IP1,R,False,True,1120.0,1836.0,2824.0,1704.0,0.014886912737145533,0.06069460902238484,0.0037228171471657134,1530.0
1.0,383,270,R_11l,R,False,True,54.0,262.0,916.0,862.0,1.7803578878688266e-05,0.02631667527771178,0.0004116408092746937,48.0
1.0,383,246,R_8Av,R,False,True,492.0,768.0,1146.0,654.0,0.002563672394724445,0.010176577091257319,0.0023363751502891716,714.0
1.0,421,23,L_A1,L,False,False,30.0,130.0,256.0,226.0,6.291479226192783,3.8074449733556493e-07,0.29812296495135193,28.0
1.0,421,203,R_A1,R,False,False,32.0,142.0,304.0,272.0,7.187688650999142,1.0423055573288663e-07,0.29838908022390775,28.0
1.0,421,68,L_9m,L,True,False,544.0,870.0,1242.0,698.0,0.0022856503373127357,0.0021023654997176693,0.0021040175635604896,672.0
1.0,421,248,R_9m,R,True,False,540.0,808.0,1154.0,614.0,0.0013375780076236687,0.005281900828454242,0.0017394736076106199,672.0
1.0,421,64,L_10r,L,True,False,376.0,626.0,962.0,586.0,0.0007444232825304235,0.002304258023407224,0.0013630399522988057,536.0
