severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,broadband_first_half,broadband_second_half,broadband_split_abs_log2,fc_first_half_z,fc_second_half_z,fc_split_abs_z
0.0,37,5Hz,Episodic proxy,2,2.0,4.0,0.0007576489133911,0.0007562572455401,0.0007568154178656,0.0007567693311716,8.785638846791977e-05,1.3959970624507276,1.395805019649308,0.0001920428014194
0.0,37,5Hz,Episodic proxy,3,4.0,6.0,0.0007576548853676,0.0007562648114632,0.0007568154178656,0.0007567693311716,8.785638846791977e-05,1.3959970624507276,1.395805019649308,0.0001920428014194
0.0,37,5Hz,Episodic proxy,4,6.0,8.0,0.0007576549357554,0.0007562648339969,0.0007568154178656,0.0007567693311716,8.785638846791977e-05,1.3959970624507276,1.395805019649308,0.0001920428014194
0.0,37,5Hz,Episodic proxy,5,8.0,10.0,0.0007576549357556,0.0007562648339972,0.0007568154178656,0.0007567693311716,8.785638846791977e-05,1.3959970624507276,1.395805019649308,0.0001920428014194
0.0,53,2Hz,Semantic proxy,1,0.0,2.0,0.0002807657585608,0.0002797317017879,0.0002798963337587,0.0002797197660998,0.0009103858676469,2.1381521861737927,2.1519202184179775,0.0137680322441848
0.0,53,2Hz,Semantic proxy,2,2.0,4.0,0.0002803071193911,0.0002796246343014,0.0002798963337587,0.0002797197660998,0.0009103858676469,2.1381521861737927,2.1519202184179775,0.0137680322441848
0.0,53,2Hz,Semantic proxy,3,4.0,6.0,0.0002803098630097,0.000279627453764,0.0002798963337587,0.0002797197660998,0.0009103858676469,2.1381521861737927,2.1519202184179775,0.0137680322441848
0.0,53,2Hz,Semantic proxy,4,6.0,8.0,0.0002803093493485,0.0002796269564473,0.0002798963337587,0.0002797197660998,0.0009103858676469,2.1381521861737927,2.1519202184179775,0.0137680322441848
0.0,53,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793678,0.000279626984207,0.0002798963337587,0.0002797197660998,0.0009103858676469,2.1381521861737927,2.1519202184179775,0.0137680322441848
0.0,53,2Hz,Episodic proxy,1,0.0,2.0,0.0005544256177864,0.0005529653463001,0.0005531391670525,0.0005530216376536,0.0003065722106108,2.227298806400433,2.230485705943994,0.0031868995435617
0.0,53,2Hz,Episodic proxy,2,2.0,4.0,0.0005541110727513,0.0005528490008417,0.0005531391670525,0.0005530216376536,0.0003065722106108,2.227298806400433,2.230485705943994,0.0031868995435617
0.0,53,2Hz,Episodic proxy,3,4.0,6.0,0.0005541140904617,0.0005528520567035,0.0005531391670525,0.0005530216376536,0.0003065722106108,2.227298806400433,2.230485705943994,0.0031868995435617
0.0,53,2Hz,Episodic proxy,4,6.0,8.0,0.0005541132798498,0.0005528512449889,0.0005531391670525,0.0005530216376536,0.0003065722106108,2.227298806400433,2.230485705943994,0.0031868995435617
0.0,53,2Hz,Episodic proxy,5,8.0,10.0,0.0005541132951218,0.0005528512578495,0.0005531391670525,0.0005530216376536,0.0003065722106108,2.227298806400433,2.230485705943994,0.0031868995435617
0.0,53,5Hz,Semantic proxy,1,0.0,2.0,0.0003880183972558,0.0003870329558784,0.0003873922630305,0.0003873045312203,0.0003267607378083,1.298876437020276,1.2990268500616535,0.0001504130413776
0.0,53,5Hz,Semantic proxy,2,2.0,4.0,0.0003877802928788,0.00038695858923,0.0003873922630305,0.0003873045312203,0.0003267607378083,1.298876437020276,1.2990268500616535,0.0001504130413776
0.0,53,5Hz,Semantic proxy,3,4.0,6.0,0.0003877874820301,0.0003869679738064,0.0003873922630305,0.0003873045312203,0.0003267607378083,1.298876437020276,1.2990268500616535,0.0001504130413776
0.0,53,5Hz,Semantic proxy,4,6.0,8.0,0.000387787195029,0.0003869675657591,0.0003873922630305,0.0003873045312203,0.0003267607378083,1.298876437020276,1.2990268500616535,0.0001504130413776
0.0,53,5Hz,Semantic proxy,5,8.0,10.0,0.0003877871950295,0.0003869675657592,0.0003873922630305,0.0003873045312203,0.0003267607378083,1.298876437020276,1.2990268500616535,0.0001504130413776
0.0,53,5Hz,Episodic proxy,1,0.0,2.0,0.0007577859367244,0.0007563000406858,0.0007568158593157,0.0007567693311668,8.869792076205085e-05,1.3959965294980303,1.3958050193124567,0.0001915101855738
0.0,53,5Hz,Episodic proxy,2,2.0,4.0,0.000757648306784,0.0007562565306165,0.0007568158593157,0.0007567693311668,8.869792076205085e-05,1.3959965294980303,1.3958050193124567,0.0001915101855738
0.0,53,5Hz,Episodic proxy,3,4.0,6.0,0.0007576547662988,0.0007562646916099,0.0007568158593157,0.0007567693311668,8.869792076205085e-05,1.3959965294980303,1.3958050193124567,0.0001915101855738
0.0,53,5Hz,Episodic proxy,4,6.0,8.0,0.0007576549357553,0.0007562648339968,0.0007568158593157,0.0007567693311668,8.869792076205085e-05,1.3959965294980303,1.3958050193124567,0.0001915101855738
0.0,53,5Hz,Episodic proxy,5,8.0,10.0,0.0007576549357558,0.0007562648339974,0.0007568158593157,0.0007567693311668,8.869792076205085e-05,1.3959965294980303,1.3958050193124567,0.0001915101855738
0.0,71,2Hz,Semantic proxy,1,0.0,2.0,0.0002807645070474,0.0002797333925991,0.000279895988589,0.0002797197671986,0.0009086010595109,2.138235390435911,2.1519201948609004,0.0136848044249893
0.0,71,2Hz,Semantic proxy,2,2.0,4.0,0.0002803070617357,0.0002796245632252,0.000279895988589,0.0002797197671986,0.0009086010595109,2.138235390435911,2.1519201948609004,0.0136848044249893
0.0,71,2Hz,Semantic proxy,3,4.0,6.0,0.0002803097953124,0.0002796273854153,0.000279895988589,0.0002797197671986,0.0009086010595109,2.138235390435911,2.1519201948609004,0.0136848044249893
0.0,71,2Hz,Semantic proxy,4,6.0,8.0,0.0002803093493501,0.0002796269564489,0.000279895988589,0.0002797197671986,0.0009086010595109,2.138235390435911,2.1519201948609004,0.0136848044249893
0.0,71,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793681,0.0002796269842072,0.000279895988589,0.0002797197671986,0.0009086010595109,2.138235390435911,2.1519201948609004,0.0136848044249893
0.0,71,2Hz,Episodic proxy,1,0.0,2.0,0.0005544255504011,0.0005529674865858,0.0005531393614782,0.0005530216394007,0.0003070747528233,2.2273294370411127,2.2304856937230815,0.0031562566819687
0.0,71,2Hz,Episodic proxy,2,2.0,4.0,0.0005541111137553,0.0005528490203711,0.0005531393614782,0.0005530216394007,0.0003070747528233,2.2273294370411127,2.2304856937230815,0.0031562566819687
