seed,probe,network,region_index,region_label,hemisphere,baseline_fc_z,evoked_fc_z,fc_change_z,fc_loss_z,baseline_phase_lag_rad,phase_lag_to_ipsilateral_a1_rad,phase_shift_rad,absolute_phase_shift_degrees,phase_interpretable,fit_r_squared,snr_db,phase_consistency,b_reduction,bilateral_a1_affinity,weighted_structural_strength
313,5Hz,Episodic proxy,31,L_23d,L,1.3622476237048131,0.0369825019019521,-1.325265121802861,1.325265121802861,0.5007409134889786,0.0112839888665077,-0.4894569246224709,28.043816034320447,True,0.0005955766926947,6.824552518562848,0.2474339487704844,0.004511444010534,0.0016362703771604,0.3738187730208542
313,5Hz,Episodic proxy,32,L_v23ab,L,1.3933748529866803,0.0396321945848317,-1.3537426584018486,1.3537426584018486,0.4860908770234228,0.1725667971365259,-0.3135240798868969,17.963606553241654,True,0.000758979113221,7.531736017523701,0.2496393624766383,0.0081594664531512,0.0019809728303667,0.3711551027487709
313,5Hz,Episodic proxy,160,L_31pd,L,1.4111620690121316,0.0534396782088465,-1.3577223908032852,1.3577223908032852,0.4777545716213864,0.1428472168007212,-0.3349073548206652,19.18877795911446,True,0.0013650009112496,9.69186239602188,0.3145091067570702,0.0025615781019833,0.0023284787420079,0.4536094020251976
313,5Hz,Episodic proxy,161,L_31a,L,1.3441196627893128,0.0573764810486635,-1.2867431817406494,1.2867431817406494,0.5094109200870949,0.1794643055000245,-0.32994661458707036,18.904548480468737,True,0.0016655631104989,9.449373700712588,0.2934420647991517,0.0006294852192031,0.001943567452346,0.386535473417285
313,5Hz,Episodic proxy,206,R_PCV,R,1.454695093024509,0.0408306413713941,-1.413864451653115,1.413864451653115,0.4581293544693927,0.2292922707141137,-0.22883708375527897,13.111399095259216,True,0.0011967736381898,9.233978085838364,0.3014313238718281,0.0085119708650266,0.0028979201343503,0.4978772669561057
313,5Hz,Episodic proxy,209,R_7m,R,1.4523740024714953,0.0412062025385271,-1.4111677999329681,1.4111677999329681,0.4591260363416904,0.1290026747474639,-0.33012336159422645,18.91467533802035,True,0.0011771014730074,9.00358311748765,0.3096145209767141,0.0016982948598265,0.0034081023972522,0.5125167675972011
313,5Hz,Episodic proxy,211,R_23d,R,1.3757030202719385,0.0276619102958859,-1.3480411099760525,1.3480411099760525,0.49431980372252,-0.2097848743842716,-0.7041046781067916,40.34222639093653,True,0.0006127538768031,6.014204675739637,0.2461456223081497,0.002834890537027,0.0017838145144034,0.3914447895793526
313,5Hz,Episodic proxy,212,R_v23ab,R,1.429932521560892,0.0573228818293225,-1.3726096397315695,1.3726096397315695,0.4694047652596269,0.2654388504964692,-0.20396591476315767,11.686386080454024,True,0.0025289437828743,11.615071058939964,0.4414920027664018,0.0021667982828749,0.0029513768645444,0.3434514254393402
313,5Hz,Episodic proxy,213,R_d23ab,R,1.3971595411082949,0.0056028954768594,-1.3915566456314354,1.3915566456314354,0.4843956523110133,-1.748862978082267,-2.2332586303932804,127.9562940827016,True,8.180857264994401e-05,0.6416357935431647,0.2147256128795013,0.019110480978384,0.0017581068720031,0.325890052801347
313,5Hz,Episodic proxy,214,R_31pv,R,1.388507673146404,0.047085750850128,-1.3414219222962762,1.3414219222962762,0.4883507542270268,0.1372544681676015,-0.35109628605942533,20.116335393922913,True,0.0016328546000972,9.352422614978334,0.3377627919937417,0.0023325616679709,0.0020261682262484,0.3639335926169346
