severity,probe,network,signal,frequency_hz,median_power,minimum_power,maximum_power,numerical_initializations,log10_median_power,severity_label,series
0.0,2Hz,Episodic proxy,Control,7.5,1.5702844672988873e-12,1.4555336359072434e-12,1.744318122427553e-12,20,-11.804021665178512,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.6000000000000005,1.6583447015821488e-12,1.5414328101098623e-12,1.8361639344963404e-12,20,-11.780325192461552,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.7,1.7555563270832828e-12,1.636584671134966e-12,1.9369219322576476e-12,20,-11.755585231622153,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.800000000000001,1.864235321411366e-12,1.7429807166999016e-12,2.049444270569764e-12,20,-11.729499267765348,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,7.9,1.9802421779290378e-12,1.8569683666707438e-12,2.1689889247042573e-12,20,-11.703281693523033,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.0,2.1033209345600693e-12,1.9782651513985365e-12,2.295403407280888e-12,20,-11.677094455571256,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.1,2.233490832005377e-12,2.106305476002049e-12,2.429397495071991e-12,20,-11.651015825872978,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.200000000000001,2.3718139337367297e-12,2.2426928810363498e-12,2.5714807656132924e-12,20,-11.624919383908516,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.3,2.5264566805331943e-12,2.394718826431776e-12,2.730846217088522e-12,20,-11.59748814391959,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.4,2.6993527665789934e-12,2.5649862072177932e-12,2.9085143903007037e-12,20,-11.568740355692686,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.5,2.8959313705063144e-12,2.7590007976529492e-12,3.1103321810648735e-12,20,-11.538211734520324,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.6,3.1183584251734845e-12,2.978644817646249e-12,3.3385341823473558e-12,20,-11.506073968323332,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.700000000000001,3.365168132040844e-12,3.2232609610889764e-12,3.5904678214899844e-12,20,-11.472993232482073,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,8.8,3.642451188100362e-12,3.4975085191847027e-12,3.874446851505088e-12,20,-11.438606259429132,0.0,Control · Episodic proxy
